loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_bleu,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
15.1934,179.78848266601600,1.97333333333333E-05,0.16,500,,,,,,,,,,,
1.4919,48.61219787597660,1.94666666666667E-05,0.32,1000,,,,,,,,,,,
1.0847,2.9973862171173100,1.92E-05,0.48,1500,,,,,,,,,,,
0.2164,0.6074984073638920,1.89333333333333E-05,0.64,2000,,,,,,,,,,,
0.1527,0.9398626089096070,1.86666666666667E-05,0.8,2500,,,,,,,,,,,
0.2541,13761.73046875,1.84E-05,0.96,3000,,,,,,,,,,,
,,,1.0,3125,0.1765674501657490,32.4929,13.05,79.8165,25.057,3.132,,,,,
0.4785,2.352421522140500,1.81333333333333E-05,1.12,3500,,,,,,,,,,,
0.0994,0.277892529964447,1.78666666666667E-05,1.28,4000,,,,,,,,,,,
0.0833,0.360210120677948,1.76E-05,1.44,4500,,,,,,,,,,,
0.0945,0.8489446043968200,1.73333333333333E-05,1.6,5000,,,,,,,,,,,
0.0722,0.32627978920936600,1.70666666666667E-05,1.76,5500,,,,,,,,,,,
0.0691,0.7949993014335630,1.68E-05,1.92,6000,,,,,,,,,,,
,,,2.0,6250,0.0691896602511406,65.9577,13.051,80.502,24.844,3.106,,,,,
0.0682,0.4005087614059450,1.65333333333333E-05,2.08,6500,,,,,,,,,,,
0.0638,0.4440908133983610,1.62666666666667E-05,2.24,7000,,,,,,,,,,,
0.0799,295.7496643066410,1.6E-05,2.4,7500,,,,,,,,,,,
0.1138,0.36927530169487,1.57333333333333E-05,2.56,8000,,,,,,,,,,,
0.0707,0.21052132546901700,1.54666666666667E-05,2.72,8500,,,,,,,,,,,
0.0743,0.4856429100036620,1.52E-05,2.88,9000,,,,,,,,,,,
,,,3.0,9375,0.06837806850671770,66.877,13.051,78.6971,25.414,3.177,,,,,
0.0654,0.19494810700416600,1.49333333333333E-05,3.04,9500,,,,,,,,,,,
0.0621,0.21614761650562300,1.46666666666667E-05,3.2,10000,,,,,,,,,,,
0.0622,0.2402954399585720,1.44E-05,3.36,10500,,,,,,,,,,,
0.0598,0.19646969437599200,1.41333333333333E-05,3.52,11000,,,,,,,,,,,
0.0594,0.20508036017417900,1.38666666666667E-05,3.68,11500,,,,,,,,,,,
0.0598,0.7237715125083920,1.36E-05,3.84,12000,,,,,,,,,,,
0.0564,0.5878733992576600,1.33333333333333E-05,4.0,12500,,,,,,,,,,,
,,,4.0,12500,0.0639374852180481,67.5385,13.051,78.4037,25.509,3.189,,,,,
0.0538,0.20505549013614700,1.30666666666667E-05,4.16,13000,,,,,,,,,,,
0.0562,0.17445620894432100,1.28E-05,4.32,13500,,,,,,,,,,,
0.0547,0.2782341539859770,1.25333333333333E-05,4.48,14000,,,,,,,,,,,
0.0545,0.29990464448928800,1.22666666666667E-05,4.64,14500,,,,,,,,,,,
0.0527,0.17221011221408800,1.2E-05,4.8,15000,,,,,,,,,,,
0.0516,0.21180960536003100,1.17333333333333E-05,4.96,15500,,,,,,,,,,,
,,,5.0,15625,0.0610426627099514,68.2804,13.051,80.4808,24.851,3.106,,,,,
0.049,0.4604659676551820,1.14666666666667E-05,5.12,16000,,,,,,,,,,,
0.0641,0.32900482416153000,1.12E-05,5.28,16500,,,,,,,,,,,
0.0511,0.550349771976471,1.09333333333333E-05,5.44,17000,,,,,,,,,,,
0.05,0.3126891851425170,1.06666666666667E-05,5.6,17500,,,,,,,,,,,
0.0516,0.2074182778596880,1.04E-05,5.76,18000,,,,,,,,,,,
0.0545,0.20456987619400000,1.01333333333333E-05,5.92,18500,,,,,,,,,,,
,,,6.0,18750,0.06072299927473070,68.6177,13.051,78.3898,25.514,3.189,,,,,
0.0512,0.38175472617149400,9.86666666666667E-06,6.08,19000,,,,,,,,,,,
0.0482,0.23559525609016400,9.6E-06,6.24,19500,,,,,,,,,,,
0.0484,0.301147997379303,9.33333333333333E-06,6.4,20000,,,,,,,,,,,
0.0492,0.21938621997833300,9.06666666666667E-06,6.56,20500,,,,,,,,,,,
0.0479,0.2605825960636140,8.8E-06,6.72,21000,,,,,,,,,,,
0.0487,0.3331143856048580,8.53333333333334E-06,6.88,21500,,,,,,,,,,,
,,,7.0,21875,0.06056610867381100,68.7785,13.051,78.3831,25.516,3.189,,,,,
