loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_bleu,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
33.7849,3135.33837890625,1.97333333333333E-05,0.16,500,,,,,,,,,,,
13.9164,1270.233642578130,1.94666666666667E-05,0.32,1000,,,,,,,,,,,
5.6551,235.600341796875,1.92E-05,0.48,1500,,,,,,,,,,,
2.2246,207.79286193847700,1.89333333333333E-05,0.64,2000,,,,,,,,,,,
1.3363,18.277446746826200,1.86666666666667E-05,0.8,2500,,,,,,,,,,,
1.0485,20.44293975830080,1.84E-05,0.96,3000,,,,,,,,,,,
,,,1.0,3125,0.7139310240745540,0.0061,13.051,36.7805,54.377,6.797,,,,,
0.9046,10.487483978271500,1.81333333333333E-05,1.12,3500,,,,,,,,,,,
0.8175,72.92301177978520,1.78666666666667E-05,1.28,4000,,,,,,,,,,,
0.6707,11.774917602539100,1.76E-05,1.44,4500,,,,,,,,,,,
0.4959,6.707705020904540,1.73333333333333E-05,1.6,5000,,,,,,,,,,,
0.3343,7.514853000640870,1.70666666666667E-05,1.76,5500,,,,,,,,,,,
0.2413,1.663874626159670,1.68E-05,1.92,6000,,,,,,,,,,,
,,,2.0,6250,0.11140698194503800,53.3974,13.056,37.4778,53.365,6.671,,,,,
0.183,1.0012834072113000,1.65333333333333E-05,2.08,6500,,,,,,,,,,,
0.1613,0.7557992935180660,1.62666666666667E-05,2.24,7000,,,,,,,,,,,
0.1416,1.0555870532989500,1.6E-05,2.4,7500,,,,,,,,,,,
0.131,1.1275464296340900,1.57333333333333E-05,2.56,8000,,,,,,,,,,,
0.1223,0.6246048212051390,1.54666666666667E-05,2.72,8500,,,,,,,,,,,
0.1153,0.6840001344680790,1.52E-05,2.88,9000,,,,,,,,,,,
,,,3.0,9375,0.09370708465576170,61.71,13.056,37.2489,53.693,6.712,,,,,
0.1155,0.6802818775177000,1.49333333333333E-05,3.04,9500,,,,,,,,,,,
0.1032,0.4793848693370820,1.46666666666667E-05,3.2,10000,,,,,,,,,,,
0.103,0.7503809928894040,1.44E-05,3.36,10500,,,,,,,,,,,
0.0982,0.7866091132164000,1.41333333333333E-05,3.52,11000,,,,,,,,,,,
0.0975,0.5434937477111820,1.38666666666667E-05,3.68,11500,,,,,,,,,,,
0.0952,0.6978985071182250,1.36E-05,3.84,12000,,,,,,,,,,,
0.0918,1.0327329635620100,1.33333333333333E-05,4.0,12500,,,,,,,,,,,
,,,4.0,12500,0.08665856719017030,63.8407,13.056,39.3725,50.797,6.35,,,,,
0.0898,0.2978311777114870,1.30666666666667E-05,4.16,13000,,,,,,,,,,,
0.0911,1.1888681650161700,1.28E-05,4.32,13500,,,,,,,,,,,
0.0879,0.6630273461341860,1.25333333333333E-05,4.48,14000,,,,,,,,,,,
0.0883,0.4410400092601780,1.22666666666667E-05,4.64,14500,,,,,,,,,,,
0.085,0.3416180908679960,1.2E-05,4.8,15000,,,,,,,,,,,
0.0819,0.4664872884750370,1.17333333333333E-05,4.96,15500,,,,,,,,,,,
,,,5.0,15625,0.08328772336244580,65.2015,13.056,38.276,52.252,6.532,,,,,
0.0788,0.3997020423412320,1.14666666666667E-05,5.12,16000,,,,,,,,,,,
0.0823,0.5152345895767210,1.12E-05,5.28,16500,,,,,,,,,,,
0.0807,0.7696546912193300,1.09333333333333E-05,5.44,17000,,,,,,,,,,,
0.0802,0.3890266418457030,1.06666666666667E-05,5.6,17500,,,,,,,,,,,
0.08,0.32678842544555700,1.04E-05,5.76,18000,,,,,,,,,,,
0.08,0.3348422348499300,1.01333333333333E-05,5.92,18500,,,,,,,,,,,
,,,6.0,18750,0.08064643293619160,65.6513,13.056,37.2263,53.725,6.716,,,,,
0.0788,0.5103707313537600,9.86666666666667E-06,6.08,19000,,,,,,,,,,,
0.0773,0.31716328859329200,9.6E-06,6.24,19500,,,,,,,,,,,
0.0754,0.5313865542411800,9.33333333333333E-06,6.4,20000,,,,,,,,,,,
0.0786,0.587592601776123,9.06666666666667E-06,6.56,20500,,,,,,,,,,,
0.0756,0.4465445578098300,8.8E-06,6.72,21000,,,,,,,,,,,
0.078,0.637414276599884,8.53333333333334E-06,6.88,21500,,,,,,,,,,,
,,,7.0,21875,0.07931153476238250,66.3861,13.051,38.1697,52.398,6.55,,,,,
